Project,Address,Round,Matching Amount
Tree Tales: Play to Plant,0x0117780BdaF2a9EA19ED897Ab7DB710452a7C00f,Beta (May 2023),215.694785
"GreenPill Ottawa x Rooted LABs: Climate, Agriculture, Open Source Tooling",0x02541cfe8dd4afe35c5a9b20396e5c23e72ea987,GG19 (Nov 2023),1317.13577
RWA 🤝 ReFi - basinDAO,0x02B1cb4dE1AF0D10a53d0EfC243E56F6bAa39c1a,GR12 (Dec 2021),4744.43675
RWA 🤝 ReFi - basinDAO,0x02B1cb4dE1AF0D10a53d0EfC243E56F6bAa39c1a,GR13 (Mar 2022),8163.96568
RWA 🤝 ReFi - basinDAO,0x02B1cb4dE1AF0D10a53d0EfC243E56F6bAa39c1a,GR14 (Jun 2022),2357.24089
RWA 🤝 ReFi - basinDAO,0x02B1cb4dE1AF0D10a53d0EfC243E56F6bAa39c1a,GR15 (Sep 2022),12099.2949
Joy's Kitchen - Food Rescue,0x033ab06a58b40f8bb533024134bc45d45b40cf6c,GG19 (Nov 2023),695.302804
Carbon DAO,0x035a1f3419dd223293e5411133d9c786f5885425,Alpha (Jan 2023),4847.88
Autonomous Web3 Carbon Offsetting for Decentralised Communities,0x035A1F3419DD223293e5411133d9C786f5885425,GR13 (Mar 2022),9701.09692
Autonomous Web3 Carbon Offsetting for Decentralised Communities,0x035A1F3419DD223293e5411133d9C786f5885425,GR14 (Jun 2022),75000
Autonomous Web3 Carbon Offsetting for Decentralised Communities,0x035A1F3419DD223293e5411133d9C786f5885425,GR15 (Sep 2022),8666.26951
Toucan Protocol — Carbon as a money lego,0x037e414AbACC799a598314153509B6B967608Bf9,GR12 (Dec 2021),105000
ReFi Tanzania,0x037eb04ad9ddff984f44ce5941d14b8ea3781459,GG18 (Aug 2023),1251.38986
ReFi Tanzania,0x037eb04ad9ddff984f44ce5941d14b8ea3781459,GG19 (Nov 2023),1442.4608
MetaForest DCAR (Decentralized Crowd Afforestation & Reforestation) Protocol,0x041F724f67b9ab2341b41667c8b7965D85601E25,GR15 (Sep 2022),0.19247638
Urbanika,0x0442A9aBbc93058a873c371F21CC366338254A88,Beta (May 2023),18237.4201
Urbanika and the SolarPunk Awakening,0x0442A9aBbc93058a873c371F21CC366338254A88,GR13 (Mar 2022),2757.48602
Urbanika and the SolarPunk Awakening,0x0442A9aBbc93058a873c371F21CC366338254A88,GR15 (Sep 2022),1119.7197
AkiyaDAO,0x0530ee06307C92FAe2a6f03754210338888c00b8,GR13 (Mar 2022),15985.6762
Khepera Blockchained Bioregeneration For Climate And Education Proposal,0x05c43c5fe8f1ff499ac2f16dc593e65c78f57a52,GG18 (Aug 2023),9.10323373
River Cleanup,0x0668436e9df80fc46da9916aa7d636eb9ad1ea49,GG18 (Aug 2023),3240.3515
River Cleanup,0x0668436e9df80fc46da9916aa7d636eb9ad1ea49,GG19 (Nov 2023),1733.51477
regrò,0x0722a26283c29dd82982718d748baea13259e9a3,GG18 (Aug 2023),622.097606
regrò,0x0722a26283c29dd82982718d748baea13259e9a3,GG19 (Nov 2023),771.697857
Regens Unite - bring Regens together in your city,0x08e40e1C0681D072a54Fc5868752c02bb3996FFA,GR13 (Mar 2022),11692.6687
Regens Unite - bring Regens together in your city,0x08e40e1C0681D072a54Fc5868752c02bb3996FFA,GR14 (Jun 2022),32720.7823
Regens Unite - bring Regens together in your city,0x08e40e1C0681D072a54Fc5868752c02bb3996FFA,GR15 (Sep 2022),20108.867
braid.science,0x08E502AC62046D5F6824F384Ba61C85E6dB1a6CD,GR13 (Mar 2022),18.0895351
braid.science,0x08E502AC62046D5F6824F384Ba61C85E6dB1a6CD,GR14 (Jun 2022),11.6974776
braid.science,0x08E502AC62046D5F6824F384Ba61C85E6dB1a6CD,GR15 (Sep 2022),1.0347095
Unearthing Common Ground: a six week journey into Community Land Trusts,0x08f2E5b3b316C49F8Ab95df0D6ee541271d10f7e,GR14 (Jun 2022),32.6634569
Unearthing Common Ground: a six week journey into Community Land Trusts,0x08f2E5b3b316C49F8Ab95df0D6ee541271d10f7e,GR15 (Sep 2022),397.021217
Promoting Biochar as a Climate Solution in Northwestern Washington,0x0909Db4243e5f48667c66eAa7229B1d100882201,GR14 (Jun 2022),15.2243789
Promoting Biochar as a Climate Solution in Northwestern Washington,0x0909Db4243e5f48667c66eAa7229B1d100882201,GR15 (Sep 2022),27.8291542
